Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Month
TXN_4685453,Tea,6.0,1.5,6.0,Cash,In-store,2023-09-14,2023-09
TXN_9096052,Smoothie,16.0,4.0,16.0,Credit Card,Takeaway,2023-12-28,2023-12
TXN_5916991,Juice,6.0,3.0,6.0,Digital Wallet,Takeaway,2023-02-06,2023-02
TXN_3407169,Sandwich,8.0,4.0,8.0,Cash,In-store,2023-03-11,2023-03
TXN_2181545,Juice,12.0,3.0,12.0,Credit Card,Takeaway,2023-07-14,2023-07
TXN_1150033,Juice,15.0,3.0,15.0,Cash,In-store,2023-04-18,2023-04
TXN_8700451,Tea,7.5,1.5,7.5,Credit Card,Takeaway,2023-12-12,2023-12
TXN_6380550,Coffee,10.0,2.0,10.0,Cash,In-store,2023-01-05,2023-01
TXN_4885518,Salad,15.0,5.0,15.0,Credit Card,In-store,2023-06-10,2023-06
TXN_5072031,Cake,6.0,3.0,6.0,Cash,Takeaway,2023-03-23,2023-03
TXN_1928241,Coffee,6.0,2.0,6.0,Cash,In-store,2023-04-30,2023-04
TXN_4283157,Salad,25.0,5.0,25.0,Digital Wallet,In-store,2023-11-25,2023-11
TXN_1648671,Sandwich,12.0,4.0,12.0,Cash,Takeaway,2023-05-21,2023-05
TXN_4062737,Cake,9.0,3.0,9.0,Cash,In-store,2023-07-02,2023-07
TXN_9249507,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-11-21,2023-11
TXN_9836934,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-03-13,2023-03
TXN_3925836,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-02-16,2023-02
TXN_3978874,Smoothie,20.0,4.0,20.0,Credit Card,In-store,2023-03-13,2023-03
TXN_8007337,Cake,6.0,3.0,6.0,Digital Wallet,Takeaway,2023-11-01,2023-11
TXN_5365809,Cake,9.0,3.0,9.0,Cash,In-store,2023-09-14,2023-09
TXN_6629480,Smoothie,20.0,4.0,20.0,Credit Card,In-store,2023-02-28,2023-02
TXN_7412722,Juice,12.0,3.0,12.0,Cash,In-store,2023-04-07,2023-04
TXN_6000201,Cookie,3.0,1.0,3.0,Cash,Takeaway,2023-02-16,2023-02
TXN_2950680,Coffee,4.0,2.0,4.0,Credit Card,Takeaway,2023-12-10,2023-12
TXN_4088917,Coffee,6.0,2.0,6.0,Cash,Takeaway,2023-02-04,2023-02
TXN_3779366,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-04-15,2023-04
TXN_3171373,Smoothie,12.0,4.0,12.0,Credit Card,In-store,2023-05-10,2023-05
TXN_8693704,Salad,25.0,5.0,25.0,Cash,In-store,2023-05-04,2023-05
TXN_3857960,Salad,20.0,5.0,20.0,Cash,In-store,2023-04-26,2023-04
TXN_9250710,Salad,5.0,5.0,5.0,Cash,In-store,2023-05-28,2023-05
TXN_9879996,Coffee,8.0,2.0,8.0,Digital Wallet,In-store,2023-03-01,2023-03
TXN_4291940,Cake,9.0,3.0,9.0,Credit Card,In-store,2023-11-13,2023-11
TXN_5047447,Salad,5.0,5.0,5.0,Digital Wallet,Takeaway,2023-12-27,2023-12
TXN_6623508,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-05-18,2023-05
TXN_2230167,Cake,12.0,3.0,12.0,Digital Wallet,Takeaway,2023-09-22,2023-09
TXN_3786188,Tea,4.5,1.5,4.5,Credit Card,In-store,2023-10-20,2023-10
TXN_9642066,Sandwich,12.0,4.0,12.0,Credit Card,In-store,2023-08-31,2023-08
TXN_6616971,Juice,6.0,3.0,6.0,Digital Wallet,Takeaway,2023-09-02,2023-09
TXN_7803615,Salad,15.0,5.0,15.0,Cash,In-store,2023-12-13,2023-12
TXN_1583597,Salad,5.0,5.0,5.0,Cash,In-store,2023-05-10,2023-05
TXN_8472308,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-08-19,2023-08
TXN_1967565,Smoothie,20.0,4.0,20.0,Credit Card,Takeaway,2023-03-31,2023-03
TXN_2029497,Sandwich,8.0,4.0,8.0,Cash,Takeaway,2023-01-06,2023-01
TXN_7852990,Sandwich,20.0,4.0,20.0,Digital Wallet,Takeaway,2023-07-10,2023-07
TXN_2059647,Tea,1.5,1.5,1.5,Digital Wallet,In-store,2023-05-29,2023-05
TXN_2485183,Smoothie,20.0,4.0,20.0,Cash,In-store,2023-07-07,2023-07
TXN_9401522,Sandwich,16.0,4.0,16.0,Digital Wallet,In-store,2023-11-16,2023-11
TXN_8250651,Sandwich,16.0,4.0,16.0,Digital Wallet,In-store,2023-03-13,2023-03
TXN_8982764,Cake,15.0,3.0,15.0,Digital Wallet,Takeaway,2023-11-23,2023-11
TXN_1153869,Smoothie,20.0,4.0,20.0,Credit Card,Takeaway,2023-11-03,2023-11
TXN_7557340,Tea,7.5,1.5,7.5,Credit Card,In-store,2023-12-11,2023-12
TXN_1157817,Smoothie,4.0,4.0,4.0,Digital Wallet,In-store,2023-04-25,2023-04
TXN_2020318,Tea,4.5,1.5,4.5,Digital Wallet,In-store,2023-10-12,2023-10
TXN_2031459,Cake,9.0,3.0,9.0,Cash,Takeaway,2023-07-04,2023-07
TXN_4912930,Smoothie,12.0,4.0,12.0,Credit Card,In-store,2023-02-26,2023-02
TXN_3723007,Tea,4.5,1.5,4.5,Digital Wallet,In-store,2023-05-18,2023-05
TXN_7559388,Salad,20.0,5.0,20.0,Digital Wallet,Takeaway,2023-02-26,2023-02
TXN_8540499,Cookie,3.0,1.0,3.0,Cash,In-store,2023-01-22,2023-01
TXN_6795640,Cookie,4.0,1.0,4.0,Digital Wallet,Takeaway,2023-01-28,2023-01
TXN_6702428,Coffee,10.0,2.0,10.0,Cash,Takeaway,2023-08-11,2023-08
TXN_1259671,Sandwich,12.0,4.0,12.0,Digital Wallet,In-store,2023-10-08,2023-10
TXN_5523450,Salad,25.0,5.0,25.0,Credit Card,Takeaway,2023-07-02,2023-07
TXN_7838964,Sandwich,12.0,4.0,12.0,Credit Card,In-store,2023-06-15,2023-06
TXN_7275407,Smoothie,8.0,4.0,8.0,Digital Wallet,In-store,2023-10-20,2023-10
TXN_2265316,Cookie,3.0,1.0,3.0,Credit Card,In-store,2023-12-29,2023-12
TXN_9472241,Salad,15.0,5.0,15.0,Cash,Takeaway,2023-06-30,2023-06
TXN_1846004,Juice,9.0,3.0,9.0,Cash,In-store,2023-05-21,2023-05
TXN_7773968,Sandwich,20.0,4.0,20.0,Digital Wallet,Takeaway,2023-02-24,2023-02
TXN_9081088,Tea,3.0,1.5,3.0,Cash,Takeaway,2023-02-27,2023-02
TXN_1130191,Smoothie,8.0,4.0,8.0,Cash,In-store,2023-04-06,2023-04
TXN_1040764,Coffee,6.0,2.0,6.0,Cash,Takeaway,2023-07-27,2023-07
TXN_2100697,Coffee,6.0,2.0,6.0,Digital Wallet,Takeaway,2023-09-19,2023-09
TXN_4134594,Sandwich,12.0,4.0,12.0,Digital Wallet,In-store,2023-09-27,2023-09
TXN_5079340,Cookie,4.0,1.0,4.0,Cash,In-store,2023-08-18,2023-08
TXN_1380601,Tea,6.0,1.5,6.0,Digital Wallet,In-store,2023-03-11,2023-03
TXN_2052395,Smoothie,12.0,4.0,12.0,Credit Card,In-store,2023-07-06,2023-07
TXN_8256593,Salad,10.0,5.0,10.0,Digital Wallet,Takeaway,2023-08-09,2023-08
TXN_9271457,Cake,9.0,3.0,9.0,Digital Wallet,In-store,2023-02-27,2023-02
TXN_5392603,Coffee,2.0,2.0,2.0,Cash,In-store,2023-05-14,2023-05
TXN_6319728,Coffee,4.0,2.0,4.0,Credit Card,In-store,2023-07-18,2023-07
TXN_9263299,Cookie,2.0,1.0,2.0,Credit Card,Takeaway,2023-10-08,2023-10
TXN_1436343,Cookie,1.0,1.0,1.0,Credit Card,In-store,2023-11-26,2023-11
TXN_7480234,Salad,5.0,5.0,5.0,Cash,Takeaway,2023-05-10,2023-05
TXN_1454467,Juice,9.0,3.0,9.0,Cash,In-store,2023-03-15,2023-03
TXN_8224079,Cookie,5.0,1.0,5.0,Cash,In-store,2023-10-16,2023-10
TXN_1916339,Cake,3.0,3.0,3.0,Cash,In-store,2023-07-15,2023-07
TXN_8611035,Sandwich,20.0,4.0,20.0,Digital Wallet,In-store,2023-05-28,2023-05
TXN_3595735,Tea,6.0,1.5,6.0,Digital Wallet,Takeaway,2023-03-26,2023-03
TXN_6169633,Salad,20.0,5.0,20.0,Credit Card,Takeaway,2023-12-20,2023-12
TXN_4518102,Tea,7.5,1.5,7.5,Credit Card,In-store,2023-02-08,2023-02
TXN_3666858,Cake,12.0,3.0,12.0,Credit Card,In-store,2023-12-27,2023-12
TXN_5499915,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-02-01,2023-02
TXN_4660753,Juice,3.0,3.0,3.0,Credit Card,Takeaway,2023-10-04,2023-10
TXN_1564754,Salad,15.0,5.0,15.0,Digital Wallet,In-store,2023-03-14,2023-03
TXN_1824506,Cake,3.0,3.0,3.0,Cash,In-store,2023-03-02,2023-03
TXN_1002457,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-09-29,2023-09
TXN_4732351,Sandwich,4.0,4.0,4.0,Digital Wallet,In-store,2023-04-22,2023-04
TXN_4980036,Cake,6.0,3.0,6.0,Cash,Takeaway,2023-01-05,2023-01
TXN_3022839,Coffee,10.0,2.0,10.0,Digital Wallet,Takeaway,2023-08-25,2023-08
TXN_7701070,Coffee,10.0,2.0,10.0,Credit Card,Takeaway,2023-07-28,2023-07
TXN_8048037,Sandwich,8.0,4.0,8.0,Digital Wallet,Takeaway,2023-03-31,2023-03
TXN_1887522,Sandwich,16.0,4.0,16.0,Cash,In-store,2023-02-20,2023-02
TXN_6769465,Juice,15.0,3.0,15.0,Digital Wallet,In-store,2023-06-13,2023-06
TXN_3871837,Tea,4.5,1.5,4.5,Digital Wallet,Takeaway,2023-12-15,2023-12
TXN_4980282,Cake,3.0,3.0,3.0,Digital Wallet,In-store,2023-10-22,2023-10
TXN_8209125,Cookie,3.0,1.0,3.0,Credit Card,Takeaway,2023-01-30,2023-01
TXN_3730415,Cake,12.0,3.0,12.0,Credit Card,Takeaway,2023-04-09,2023-04
TXN_4134253,Tea,6.0,1.5,6.0,Cash,In-store,2023-10-07,2023-10
TXN_7558641,Coffee,2.0,2.0,2.0,Digital Wallet,In-store,2023-12-22,2023-12
TXN_3234877,Coffee,8.0,2.0,8.0,Cash,Takeaway,2023-07-29,2023-07
TXN_6368719,Cake,12.0,3.0,12.0,Credit Card,Takeaway,2023-01-03,2023-01
TXN_8852585,Sandwich,16.0,4.0,16.0,Credit Card,Takeaway,2023-01-05,2023-01
TXN_9201010,Salad,5.0,5.0,5.0,Credit Card,Takeaway,2023-03-15,2023-03
TXN_3607652,Salad,20.0,5.0,20.0,Digital Wallet,In-store,2023-06-05,2023-06
TXN_8502094,Juice,15.0,3.0,15.0,Credit Card,In-store,2023-03-21,2023-03
TXN_9068244,Sandwich,20.0,4.0,20.0,Digital Wallet,Takeaway,2023-10-19,2023-10
TXN_7633490,Cookie,1.0,1.0,1.0,Cash,Takeaway,2023-10-27,2023-10
TXN_9292230,Tea,6.0,1.5,6.0,Credit Card,In-store,2023-07-14,2023-07
TXN_8006668,Tea,6.0,1.5,6.0,Credit Card,In-store,2023-12-22,2023-12
TXN_3560062,Cookie,1.0,1.0,1.0,Cash,In-store,2023-03-20,2023-03
TXN_6360132,Sandwich,16.0,4.0,16.0,Cash,Takeaway,2023-09-16,2023-09
TXN_7864939,Sandwich,12.0,4.0,12.0,Digital Wallet,In-store,2023-08-19,2023-08
TXN_3740963,Salad,10.0,5.0,10.0,Digital Wallet,Takeaway,2023-01-22,2023-01
TXN_6063966,Juice,6.0,3.0,6.0,Digital Wallet,Takeaway,2023-10-24,2023-10
TXN_3779640,Tea,1.5,1.5,1.5,Digital Wallet,In-store,2023-05-16,2023-05
TXN_8136881,Salad,15.0,5.0,15.0,Cash,In-store,2023-08-28,2023-08
TXN_3981449,Smoothie,8.0,4.0,8.0,Cash,In-store,2023-06-21,2023-06
TXN_5427506,Cake,9.0,3.0,9.0,Cash,Takeaway,2023-09-15,2023-09
TXN_4033802,Tea,4.5,1.5,4.5,Cash,Takeaway,2023-03-02,2023-03
TXN_4696439,Cookie,1.0,1.0,1.0,Cash,In-store,2023-05-27,2023-05
TXN_8826983,Smoothie,20.0,4.0,20.0,Cash,In-store,2023-01-14,2023-01
TXN_2947822,Cake,12.0,3.0,12.0,Digital Wallet,In-store,2023-10-27,2023-10
TXN_2493446,Sandwich,4.0,4.0,4.0,Cash,Takeaway,2023-05-19,2023-05
TXN_4538354,Juice,9.0,3.0,9.0,Cash,Takeaway,2023-04-21,2023-04
TXN_7533411,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-11-09,2023-11
TXN_2690314,Tea,7.5,1.5,7.5,Cash,In-store,2023-08-10,2023-08
TXN_2968827,Salad,25.0,5.0,25.0,Digital Wallet,Takeaway,2023-09-14,2023-09
TXN_1387401,Cookie,4.0,1.0,4.0,Cash,In-store,2023-10-19,2023-10
TXN_3917193,Juice,15.0,3.0,15.0,Credit Card,Takeaway,2023-11-17,2023-11
TXN_2062854,Sandwich,16.0,4.0,16.0,Digital Wallet,Takeaway,2023-12-01,2023-12
TXN_5624860,Tea,4.5,1.5,4.5,Credit Card,Takeaway,2023-08-22,2023-08
TXN_3381656,Cake,15.0,3.0,15.0,Cash,Takeaway,2023-10-26,2023-10
TXN_1183995,Salad,25.0,5.0,25.0,Digital Wallet,Takeaway,2023-03-28,2023-03
TXN_7578769,Sandwich,20.0,4.0,20.0,Digital Wallet,Takeaway,2023-01-30,2023-01
TXN_3515664,Coffee,4.0,2.0,4.0,Cash,Takeaway,2023-09-25,2023-09
TXN_6422433,Sandwich,20.0,4.0,20.0,Digital Wallet,Takeaway,2023-05-09,2023-05
TXN_4669664,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-12-21,2023-12
TXN_2213556,Coffee,2.0,2.0,2.0,Cash,In-store,2023-05-30,2023-05
TXN_3826038,Salad,5.0,5.0,5.0,Cash,Takeaway,2023-10-20,2023-10
TXN_7380277,Sandwich,16.0,4.0,16.0,Digital Wallet,Takeaway,2023-04-24,2023-04
TXN_7609853,Sandwich,4.0,4.0,4.0,Digital Wallet,In-store,2023-04-22,2023-04
TXN_9266394,Cookie,2.0,1.0,2.0,Credit Card,In-store,2023-07-12,2023-07
TXN_6152588,Coffee,6.0,2.0,6.0,Cash,Takeaway,2023-11-21,2023-11
TXN_5739806,Smoothie,12.0,4.0,12.0,Credit Card,In-store,2023-09-18,2023-09
TXN_9228978,Coffee,10.0,2.0,10.0,Digital Wallet,In-store,2023-02-09,2023-02
TXN_1124753,Salad,20.0,5.0,20.0,Digital Wallet,In-store,2023-10-19,2023-10
TXN_7611120,Juice,6.0,3.0,6.0,Cash,Takeaway,2023-03-30,2023-03
TXN_6316959,Tea,3.0,1.5,3.0,Cash,In-store,2023-11-10,2023-11
TXN_2265984,Cookie,5.0,1.0,5.0,Credit Card,Takeaway,2023-10-18,2023-10
TXN_1123138,Salad,5.0,5.0,5.0,Cash,In-store,2023-02-10,2023-02
TXN_9212503,Salad,10.0,5.0,10.0,Digital Wallet,Takeaway,2023-10-08,2023-10
TXN_1259824,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-04-29,2023-04
TXN_2806243,Salad,20.0,5.0,20.0,Digital Wallet,Takeaway,2023-01-14,2023-01
TXN_3286932,Cookie,1.0,1.0,1.0,Digital Wallet,Takeaway,2023-07-11,2023-07
TXN_3481470,Salad,20.0,5.0,20.0,Credit Card,In-store,2023-12-24,2023-12
TXN_3469469,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-10-25,2023-10
TXN_4998786,Cake,15.0,3.0,15.0,Credit Card,Takeaway,2023-10-25,2023-10
TXN_2126408,Cookie,3.0,1.0,3.0,Cash,Takeaway,2023-10-19,2023-10
TXN_8958593,Juice,15.0,3.0,15.0,Digital Wallet,In-store,2023-07-08,2023-07
TXN_2383598,Sandwich,8.0,4.0,8.0,Digital Wallet,In-store,2023-09-19,2023-09
TXN_2211685,Smoothie,4.0,4.0,4.0,Credit Card,In-store,2023-06-06,2023-06
TXN_5933480,Sandwich,12.0,4.0,12.0,Digital Wallet,In-store,2023-09-04,2023-09
TXN_5447508,Sandwich,12.0,4.0,12.0,Digital Wallet,Takeaway,2023-06-28,2023-06
TXN_5686113,Sandwich,20.0,4.0,20.0,Digital Wallet,In-store,2023-09-09,2023-09
TXN_3397609,Smoothie,8.0,4.0,8.0,Digital Wallet,In-store,2023-07-22,2023-07
TXN_9347203,Sandwich,20.0,4.0,20.0,Cash,In-store,2023-04-15,2023-04
TXN_3383926,Cake,9.0,3.0,9.0,Cash,Takeaway,2023-07-08,2023-07
TXN_6905718,Salad,25.0,5.0,25.0,Credit Card,In-store,2023-02-20,2023-02
TXN_7993951,Tea,3.0,1.5,3.0,Digital Wallet,Takeaway,2023-12-14,2023-12
TXN_9097641,Cake,12.0,3.0,12.0,Cash,Takeaway,2023-12-16,2023-12
TXN_8536115,Cake,3.0,3.0,3.0,Credit Card,Takeaway,2023-07-11,2023-07
TXN_2915281,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-07-01,2023-07
TXN_3468006,Smoothie,12.0,4.0,12.0,Credit Card,Takeaway,2023-07-28,2023-07
TXN_7604541,Juice,12.0,3.0,12.0,Credit Card,In-store,2023-04-16,2023-04
TXN_9238689,Cake,3.0,3.0,3.0,Digital Wallet,In-store,2023-03-09,2023-03
TXN_2601689,Salad,20.0,5.0,20.0,Digital Wallet,Takeaway,2023-01-14,2023-01
TXN_6428182,Cake,15.0,3.0,15.0,Cash,In-store,2023-11-10,2023-11
TXN_6830557,Coffee,6.0,2.0,6.0,Digital Wallet,Takeaway,2023-11-08,2023-11
TXN_6371264,Smoothie,20.0,4.0,20.0,Cash,Takeaway,2023-02-27,2023-02
TXN_9236713,Cookie,5.0,1.0,5.0,Cash,In-store,2023-09-13,2023-09
TXN_4690833,Cake,3.0,3.0,3.0,Cash,Takeaway,2023-05-23,2023-05
TXN_7946489,Juice,3.0,3.0,3.0,Cash,Takeaway,2023-09-11,2023-09
TXN_8661288,Salad,10.0,5.0,10.0,Digital Wallet,Takeaway,2023-01-27,2023-01
TXN_6111710,Salad,15.0,5.0,15.0,Credit Card,In-store,2023-06-18,2023-06
TXN_5476465,Cake,12.0,3.0,12.0,Cash,In-store,2023-06-23,2023-06
TXN_1773873,Salad,25.0,5.0,25.0,Credit Card,Takeaway,2023-06-10,2023-06
TXN_4570711,Sandwich,16.0,4.0,16.0,Credit Card,In-store,2023-12-11,2023-12
TXN_5242469,Coffee,8.0,2.0,8.0,Credit Card,Takeaway,2023-04-01,2023-04
TXN_1655100,Cake,12.0,3.0,12.0,Credit Card,Takeaway,2023-12-20,2023-12
TXN_1526864,Smoothie,12.0,4.0,12.0,Digital Wallet,In-store,2023-01-27,2023-01
TXN_9866728,Juice,3.0,3.0,3.0,Cash,In-store,2023-10-26,2023-10
TXN_1706201,Coffee,6.0,2.0,6.0,Credit Card,In-store,2023-08-23,2023-08
TXN_2498488,Smoothie,8.0,4.0,8.0,Digital Wallet,Takeaway,2023-12-06,2023-12
TXN_4431179,Sandwich,12.0,4.0,12.0,Digital Wallet,Takeaway,2023-08-13,2023-08
TXN_2108894,Sandwich,16.0,4.0,16.0,Credit Card,In-store,2023-10-30,2023-10
TXN_6347472,Tea,1.5,1.5,1.5,Digital Wallet,In-store,2023-03-22,2023-03
TXN_8345723,Sandwich,4.0,4.0,4.0,Digital Wallet,Takeaway,2023-08-27,2023-08
TXN_2178964,Tea,6.0,1.5,6.0,Cash,Takeaway,2023-12-25,2023-12
TXN_6581437,Coffee,10.0,2.0,10.0,Digital Wallet,Takeaway,2023-10-23,2023-10
TXN_6128621,Salad,15.0,5.0,15.0,Digital Wallet,In-store,2023-11-10,2023-11
TXN_4512118,Coffee,4.0,2.0,4.0,Digital Wallet,Takeaway,2023-04-20,2023-04
TXN_4961655,Juice,15.0,3.0,15.0,Cash,Takeaway,2023-05-06,2023-05
TXN_5595352,Juice,3.0,3.0,3.0,Cash,In-store,2023-02-20,2023-02
TXN_1090854,Cookie,3.0,1.0,3.0,Credit Card,In-store,2023-01-07,2023-01
TXN_1869814,Tea,1.5,1.5,1.5,Digital Wallet,Takeaway,2023-05-24,2023-05
TXN_6910915,Tea,6.0,1.5,6.0,Digital Wallet,Takeaway,2023-05-06,2023-05
TXN_5229169,Juice,6.0,3.0,6.0,Credit Card,Takeaway,2023-09-08,2023-09
TXN_5576265,Smoothie,16.0,4.0,16.0,Credit Card,Takeaway,2023-04-08,2023-04
TXN_1046394,Smoothie,4.0,4.0,4.0,Cash,In-store,2023-04-29,2023-04
TXN_2269396,Coffee,6.0,2.0,6.0,Digital Wallet,In-store,2023-10-26,2023-10
TXN_9263967,Cookie,3.0,1.0,3.0,Credit Card,In-store,2023-09-14,2023-09
TXN_2914088,Salad,25.0,5.0,25.0,Cash,In-store,2023-03-22,2023-03
TXN_6571898,Juice,9.0,3.0,9.0,Digital Wallet,Takeaway,2023-02-02,2023-02
TXN_2108486,Juice,12.0,3.0,12.0,Digital Wallet,Takeaway,2023-12-28,2023-12
TXN_5315441,Smoothie,20.0,4.0,20.0,Digital Wallet,In-store,2023-10-31,2023-10
TXN_9196322,Cookie,4.0,1.0,4.0,Digital Wallet,In-store,2023-08-12,2023-08
TXN_3394710,Sandwich,4.0,4.0,4.0,Digital Wallet,In-store,2023-10-22,2023-10
TXN_7838465,Sandwich,12.0,4.0,12.0,Credit Card,Takeaway,2023-06-15,2023-06
TXN_2447261,Cookie,3.0,1.0,3.0,Credit Card,Takeaway,2023-10-15,2023-10
TXN_2611990,Cookie,3.0,1.0,3.0,Digital Wallet,Takeaway,2023-10-25,2023-10
TXN_1460963,Coffee,6.0,2.0,6.0,Cash,In-store,2023-02-10,2023-02
TXN_6691767,Salad,10.0,5.0,10.0,Cash,Takeaway,2023-02-05,2023-02
TXN_6932070,Tea,6.0,1.5,6.0,Credit Card,In-store,2023-06-10,2023-06
TXN_4640977,Cookie,3.0,1.0,3.0,Credit Card,In-store,2023-02-11,2023-02
TXN_7896721,Cake,9.0,3.0,9.0,Credit Card,Takeaway,2023-04-22,2023-04
TXN_7906197,Sandwich,20.0,4.0,20.0,Credit Card,In-store,2023-01-02,2023-01
TXN_8066743,Tea,4.5,1.5,4.5,Cash,Takeaway,2023-11-13,2023-11
TXN_7585348,Cake,9.0,3.0,9.0,Credit Card,Takeaway,2023-03-16,2023-03
TXN_4005014,Sandwich,4.0,4.0,4.0,Digital Wallet,Takeaway,2023-07-10,2023-07
TXN_4478185,Cake,6.0,3.0,6.0,Cash,In-store,2023-08-25,2023-08
TXN_3461209,Juice,12.0,3.0,12.0,Credit Card,In-store,2023-04-26,2023-04
TXN_1026827,Cookie,4.0,1.0,4.0,Digital Wallet,In-store,2023-01-02,2023-01
TXN_4479052,Salad,20.0,5.0,20.0,Digital Wallet,In-store,2023-12-05,2023-12
TXN_5369555,Juice,12.0,3.0,12.0,Cash,Takeaway,2023-02-24,2023-02
TXN_8187656,Tea,6.0,1.5,6.0,Credit Card,Takeaway,2023-05-01,2023-05
TXN_6463415,Coffee,6.0,2.0,6.0,Digital Wallet,In-store,2023-04-12,2023-04
TXN_4634772,Juice,9.0,3.0,9.0,Credit Card,In-store,2023-01-12,2023-01
TXN_8034156,Sandwich,4.0,4.0,4.0,Cash,In-store,2023-07-22,2023-07
TXN_2163229,Cookie,4.0,1.0,4.0,Cash,Takeaway,2023-12-21,2023-12
TXN_1343750,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-02-15,2023-02
TXN_8022689,Tea,1.5,1.5,1.5,Cash,Takeaway,2023-06-15,2023-06
TXN_2416816,Smoothie,20.0,4.0,20.0,Digital Wallet,In-store,2023-10-19,2023-10
TXN_1778707,Salad,25.0,5.0,25.0,Credit Card,Takeaway,2023-03-26,2023-03
